time	V(ainp)	V(ainter1)	V(binp)	V(binter1)	V(inter1)	V(vdd)	V(xorout)	V(n002)	V(n003)	V(n004)	V(n005)
0.000000000000000e+000	0.000000000000000e+000	4.999999976719317e+000	5.000000000000000e+000	1.553075701882678e-008	4.999999974265896e+000	5.000000000000000e+000	4.999999976733315e+000	3.882689229844790e-009	4.522836839729655e+000	7.765378480656352e-009	4.520114377220983e+000
1.953124992195698e-014	9.765624960978488e-008	5.000000014108483e+000	5.000000000000000e+000	3.158516381900178e-008	5.000000006876253e+000	5.000000000000000e+000	4.999999973741515e+000	3.409893434899555e-008	4.522836886302104e+000	2.112437948326101e-008	4.520114427891079e+000
3.906249984391395e-014	1.953124992195698e-007	5.000000051420786e+000	5.000000000000000e+000	4.756897931113002e-008	5.000000039412212e+000	5.000000000000000e+000	4.999999970701955e+000	6.397993168626539e-008	4.522836932816118e+000	3.436114971342423e-008	4.520114478485517e+000
1.462053565586494e-012	7.310267827932470e-006	5.000002285421513e+000	5.000000000000000e+000	8.069042609391409e-007	5.000002047046602e+000	5.000000000000000e+000	4.999999480786642e+000	1.032024417873582e-006	4.522840036704618e+000	5.482481429897953e-007	4.520117696693500e+000
2.885044631329074e-012	1.442522315664537e-005	5.000004239170437e+000	5.000000000000000e+000	1.406645610945710e-006	5.000003853931939e+000	5.000000000000000e+000	4.999998988534425e+000	1.782451330359143e-006	4.522842982858087e+000	9.486870234117157e-007	4.520120659336995e+000
4.308035697071654e-012	2.154017848535827e-005	5.000005912667557e+000	5.000000000000000e+000	1.846793029330837e-006	5.000005460068224e+000	5.000000000000000e+000	4.999998493945305e+000	2.315260669142950e-006	4.522845771276523e+000	1.235677790979185e-006	4.520123366416002e+000
5.731026762814234e-012	2.865513381407117e-005	5.000007305912876e+000	5.000000000000000e+000	2.127346516094523e-006	5.000006865455458e+000	5.000000000000000e+000	4.999997997019283e+000	2.630452434225002e-006	4.522848401959926e+000	1.409220445692204e-006	4.520125817930522e+000
7.154017828556815e-012	3.577008914278407e-005	5.000008418906391e+000	5.000000000000000e+000	2.248306071236767e-006	5.000008070093639e+000	5.000000000000000e+000	4.999997497756357e+000	2.728026625605300e-006	4.522850874908298e+000	1.469314987550771e-006	4.520128013880555e+000
8.577008894299394e-012	4.288504447149697e-005	5.000009251648105e+000	5.000000000000000e+000	2.209671694757570e-006	5.000009073982769e+000	5.000000000000000e+000	4.999996996156527e+000	2.607983243283843e-006	4.522853190121638e+000	1.415961416554888e-006	4.520129954266101e+000
9.999999960041972e-012	4.999999980020986e-005	5.000009804138013e+000	5.000000000000000e+000	2.011443386656930e-006	5.000009877122846e+000	5.000000000000000e+000	4.999996492219795e+000	2.270322287260632e-006	4.522855347599945e+000	1.249159732704554e-006	4.520131639087158e+000
3.999999984016789e-011	1.999999992008394e-004	5.000014799322429e+000	5.000000000000000e+000	9.937204324082329e-007	5.000019436781996e+000	5.000000000000000e+000	4.999993784087148e+000	2.276055423626524e-006	4.522895025051763e+000	5.727577435641815e-007	4.520162293420977e+000
3.199999987213431e-010	1.599999993606716e-003	5.000014215902443e+000	5.000000000000000e+000	3.649533933490259e-007	5.000023534497188e+000	5.000000000000000e+000	4.999994566511402e+000	2.275617258296463e-006	4.523198016811985e+000	1.823129372544998e-007	4.520386630894794e+000
2.559999989770745e-009	1.279999994885372e-002	5.000011667453784e+000	5.000000000000000e+000	1.543860899846617e-007	5.000023574600933e+000	5.000000000000000e+000	4.999997836911717e+000	2.269814426064745e-006	4.525595557546236e+000	7.722415762918083e-008	4.521364874668955e+000
6.466249989770744e-009	3.233124994885372e-002	5.000010580783880e+000	5.000000000000000e+000	6.127322352300103e-008	5.000023678853637e+000	5.000000000000000e+000	4.999999271947078e+000	3.862944257137540e-006	4.529776546276546e+000	3.064796165629750e-008	4.522037008654982e+000
1.037249998977074e-008	5.186249994885372e-002	5.000010350167857e+000	5.000000000000000e+000	3.869588830146629e-008	5.000023782425114e+000	5.000000000000000e+000	4.999999620216588e+000	4.208561668798601e-006	4.533957511315668e+000	1.935798656833027e-008	4.522317602563973e+000
9.240374998977068e-008	4.620187499488535e-001	5.000011086532842e+000	5.000000000000000e+000	1.579105071301736e-008	5.000026183635551e+000	5.000000000000000e+000	4.999999973871017e+000	4.208561858906878e-006	4.621752488540757e+000	7.906103123254168e-009	4.522837038872153e+000
9.435687498977067e-008	4.717843749488535e-001	5.000011083443082e+000	5.000000000000000e+000	-1.118015746030387e-008	5.000013866331996e+000	5.000000000000000e+000	4.999999973958499e+000	5.175742424818513e-006	4.622973516645825e+000	-9.707868925879268e-009	4.522837793930174e+000
9.630999998977067e-008	4.815499999488535e-001	5.000010843708953e+000	5.000000000000000e+000	-2.526426521559481e-007	4.999878403588630e+000	5.000000000000000e+000	4.999999973323472e+000	1.570018210674267e-005	4.613896475498343e+000	-1.673978875741612e-007	4.522838262420528e+000
9.826312498977066e-008	4.913156249488533e-001	4.999924275547583e+000	5.000000000000000e+000	-6.108912882914980e-007	4.999483375055107e+000	5.000000000000000e+000	4.999999792252346e+000	5.126023484803861e-005	4.574494548033226e+000	-3.963287565373599e-007	4.522770333247098e+000
1.002162499897707e-007	5.010812499488532e-001	4.999403009552864e+000	5.000000000000000e+000	-6.554901370836022e-007	4.998979071415556e+000	5.000000000000000e+000	4.999999050938067e+000	1.208056947642425e-004	4.516921338244348e+000	-4.055220764894281e-007	4.522359203675499e+000
1.021693749897707e-007	5.108468749488532e-001	4.998483086994265e+000	5.000000000000000e+000	-1.083960126868123e-006	4.998325401164008e+000	5.000000000000000e+000	4.999998943618015e+000	2.252291887827780e-004	4.481421768511446e+000	-6.825419883434753e-007	4.521632518462872e+000
1.041224999897707e-007	5.206124999488534e-001	4.997446446201495e+000	5.000000000000000e+000	-1.518452296310698e-006	4.997297535440374e+000	5.000000000000000e+000	4.999998808388285e+000	3.641403922466438e-004	4.467183191677441e+000	-9.620372047329843e-007	4.520812844519540e+000
1.060756249897706e-007	5.303781249488532e-001	4.996174204510848e+000	5.000000000000000e+000	-1.788918204914843e-006	4.995988081694081e+000	5.000000000000000e+000	4.999998437834487e+000	5.371525606866871e-004	4.454028402052959e+000	-1.129078476935493e-006	4.519807914025526e+000
1.080287499897706e-007	5.401437499488532e-001	4.994630431222319e+000	5.000000000000000e+000	-2.168442899178578e-006	4.994427469031453e+000	5.000000000000000e+000	4.999998220341853e+000	7.438796709000363e-004	4.440380941640083e+000	-1.370664649835390e-006	4.518589715944833e+000
1.099818749897706e-007	5.499093749488532e-001	4.992831706428947e+000	5.000000000000000e+000	-2.465693486715750e-006	4.992601286874130e+000	5.000000000000000e+000	4.999997887481310e+000	9.839383699022757e-004	4.426674942410749e+000	-1.555938889532358e-006	4.517171313107150e+000
1.119349999897706e-007	5.596749999488532e-001	4.990765532450050e+000	5.000000000000000e+000	-2.825298869829412e-006	4.990520507838284e+000	5.000000000000000e+000	4.999997642843526e+000	1.256946567861024e-003	4.412658805546958e+000	-1.783750771305269e-006	4.515542859995669e+000
1.138881249897706e-007	5.694406249488532e-001	4.988438441428983e+000	5.000000000000000e+000	-3.134625076536444e-006	4.988179113687679e+000	5.000000000000000e+000	4.999997326445935e+000	1.562525082707676e-003	4.398513205214597e+000	-1.976959788929185e-006	4.513709511392797e+000
1.158412499897706e-007	5.792062499488532e-001	4.985844389680466e+000	5.000000000000000e+000	-3.484289806927042e-006	4.985582558816860e+000	5.000000000000000e+000	4.999997066791814e+000	1.900295801959526e-003	4.384133325869940e+000	-2.197647228664558e-006	4.511666502026188e+000
1.177943749897706e-007	5.889718749488532e-001	4.982986122904609e+000	5.000000000000000e+000	-3.799388415326997e-006	4.982728084027153e+000	5.000000000000000e+000	4.999996755998431e+000	2.269883541998436e-003	4.369550676162231e+000	-2.394456704387390e-006	4.509416004899807e+000
