time	V(cmirror)	V(p001)	V(p002)	V(vdd)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(n010)
0.000000000000000e+000	3.113045349452962e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165928750869e+000	3.193165928750869e+000	3.193165928750869e+000	1.006282787424593e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592875086880e-001
2.929687403590252e-014	3.113045349452435e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165928746795e+000	3.193165928746795e+000	3.193165928746795e+000	1.006282787200193e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592874679509e-001
5.859374807180504e-014	3.113045349451532e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165928739812e+000	3.193165928739812e+000	3.193165928739812e+000	1.006282786964942e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592873981228e-001
1.171874961436101e-013	3.113045349448003e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165928712493e+000	3.193165928712493e+000	3.193165928712493e+000	1.006282786445518e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592871249281e-001
2.343749922872201e-013	3.113045349432125e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165928589210e+000	3.193165928589210e+000	3.193165928589210e+000	1.006282785164625e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592858920958e-001
4.687499845744403e-013	3.113045349345080e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165927909676e+000	3.193165927909676e+000	3.193165927909676e+000	1.006282781178871e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592790967605e-001
9.374999691488806e-013	3.113045348558859e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165921710555e+000	3.193165921710556e+000	3.193165921710556e+000	1.006282759037177e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592171055531e-001
1.874999938297761e-012	3.113045366188359e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193166062983736e+000	3.193166062983737e+000	3.193166062983737e+000	1.006283093444980e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266606298373638e-001
3.749999876595522e-012	3.113045333917811e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165798627005e+000	3.193165798627005e+000	3.193165798627005e+000	1.006282670347009e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266579862700525e-001
7.499999753191045e-012	3.113045311012868e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165617753963e+000	3.193165617753963e+000	3.193165617753963e+000	1.006282108240884e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266561775396271e-001
1.499999950638209e-011	3.113045426165258e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193166550520655e+000	3.193166550520655e+000	3.193166550520655e+000	1.006283929321368e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266655052065424e-001
2.999999901276418e-011	3.113045276196678e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165327400624e+000	3.193165327400624e+000	3.193165327400624e+000	1.006281766204093e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266532740062356e-001
5.999999802552836e-011	3.113045399580289e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193166332955423e+000	3.193166332955423e+000	3.193166332955423e+000	1.006283472914090e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266633295542284e-001
1.199999960510567e-010	3.113045319891720e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165680855329e+000	3.193165680855329e+000	3.193165680855329e+000	1.006282389513598e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266568085532909e-001
2.399999921021134e-010	3.113045365463429e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193166052840728e+000	3.193166052840728e+000	3.193166052840728e+000	1.006283002224391e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266605284072794e-001
4.799999842042269e-010	3.113045341112506e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165853639234e+000	3.193165853639234e+000	3.193165853639234e+000	1.006282676157280e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266585363923427e-001
9.599999684084537e-010	3.113045353710030e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165956556990e+000	3.193165956556990e+000	3.193165956556991e+000	1.006282844434193e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266595655699032e-001
1.919999936816907e-009	3.113045347303904e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165904147887e+000	3.193165904147887e+000	3.193165904147887e+000	1.006282758963654e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266590414788735e-001
3.839999873633815e-009	3.113045350197973e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165927791486e+000	3.193165927791486e+000	3.193165927791486e+000	1.006282797558639e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592779148633e-001
6.829312487363382e-008	3.113045349452719e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165921493537e+000	3.193165921493537e+000	3.193165921493537e+000	1.006282787652887e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592149353678e-001
7.122281237363381e-008	3.113044609790209e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193159899440955e+000	3.193159899440955e+000	3.193159899440955e+000	1.006271999784045e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.265989944095448e-001
7.158902331113382e-008	3.113044794822525e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193161406795191e+000	3.193161406795191e+000	3.193161406795191e+000	1.006274698149341e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266140679519095e-001
7.232144518613381e-008	3.113045349442445e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165924083463e+000	3.193165924083463e+000	3.193165924083463e+000	1.006282787069712e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592408346245e-001
7.964566393613382e-008	3.113045349452949e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165924178353e+000	3.193165924178353e+000	3.193165924178353e+000	1.006282787211381e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592417835290e-001
8.294156237363382e-008	3.113045347431560e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165907714650e+000	3.193165907714650e+000	3.193165907714650e+000	1.006282760489565e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266590771464957e-001
8.367398424863381e-008	3.113045349452871e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165924177397e+000	3.193165924177397e+000	3.193165924177397e+000	1.006282787210955e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592417739710e-001
1.245065037798838e-007	3.113045349452962e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165924177697e+000	3.193165924177697e+000	3.193165924177697e+000	1.006282787211546e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592417769640e-001
1.247811619830088e-007	3.113045349452962e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165924177696e+000	3.193165924177697e+000	3.193165924177697e+000	1.006282787211546e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592417769642e-001
1.249184910845713e-007	3.113045349452962e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165924177696e+000	3.193165924177697e+000	3.193165924177697e+000	1.006282787211546e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592417769642e-001
1.251015965533213e-007	3.113045349452962e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165924177696e+000	3.193165924177697e+000	3.193165924177697e+000	1.006282787211546e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592417769642e-001
1.262002293658213e-007	3.113045349452962e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165924177696e+000	3.193165924177697e+000	3.193165924177697e+000	1.006282787211546e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592417769642e-001
7.718301121783213e-007	3.113045349452962e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165924177697e+000	3.193165924177697e+000	3.193165924177697e+000	1.006282787211546e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592417769642e-001
1.000000000000000e-006	3.113045349452962e+000	0.000000000000000e+000	0.000000000000000e+000	5.000000000000000e+000	3.193165924177697e+000	3.193165924177697e+000	3.193165924177697e+000	1.006282787211546e+000	1.999980000199998e+000	2.000000000000000e+000	2.000000000000000e+000	1.999980000199998e+000	3.110500000000000e+000	8.266592417769642e-001
